DATE,OPEN,HIGH,LOW,CLOSE,NO.OFSHARES,NO.OFTRADES
12-05-2022,383.95,384.35,366.05,372.10,1251789,26235
11-05-2022,396.00,397.00,377.65,387.90,983616,23679
10-05-2022,399.95,408.50,390.00,391.70,554611,15208
09-05-2022,408.50,408.50,394.75,403.85,1600695,54381
06-05-2022,419.75,420.20,407.00,408.70,1882332,72455
05-05-2022,429.80,433.90,423.70,426.30,886930,23588
04-05-2022,437.30,440.55,420.90,423.60,2337466,11929
02-05-2022,438.00,443.00,428.50,432.75,903954,15879
29-04-2022,440.90,447.60,436.00,437.55,1833155,33214
28-04-2022,436.00,439.15,430.90,436.20,327631,7918
26-04-2022,434.50,437.25,431.55,434.80,845747,19596
25-04-2022,433.70,435.95,423.40,425.25,1040968,36128
22-04-2022,443.75,447.15,438.00,438.95,448458,8481
21-04-2022,445.20,449.25,440.90,447.95,491814,9648
20-04-2022,431.25,441.50,428.05,440.50,709048,13079
19-04-2022,438.00,440.30,416.85,424.10,412938,10816
18-04-2022,430.25,436.45,423.90,433.65,551582,14768
13-04-2022,441.40,443.00,430.25,431.00,628100,13371
12-04-2022,451.30,451.30,435.00,438.15,1662748,50919
11-04-2022,457.00,458.95,451.00,452.05,1106650,24801
08-04-2022,452.50,456.35,449.60,452.10,605945,10619
07-04-2022,457.80,459.00,448.30,449.45,1557694,37744
06-04-2022,456.80,462.65,452.40,456.15,1830532,39496
05-04-2022,449.00,461.90,448.70,458.05,2457231,46806
04-04-2022,444.70,449.35,441.35,446.80,1101864,20260
01-04-2022,434.10,442.25,431.00,441.10,542319,9669
31-03-2022,436.00,438.25,432.45,433.50,926251,20959
29-03-2022,435.30,439.20,431.45,433.55,539568,10062
28-03-2022,432.00,434.95,426.35,432.65,565117,10316
25-03-2022,436.90,437.70,427.65,432.05,1007803,22076
24-03-2022,430.90,435.40,427.45,433.20,1096825,13161
23-03-2022,444.30,449.00,434.50,435.70,1237323,14915
22-03-2022,427.95,441.40,421.35,440.30,2424255,39867
21-03-2022,436.00,436.05,427.10,427.95,1423008,32398
17-03-2022,431.95,435.75,429.45,433.80,1008935,15793
16-03-2022,426.50,428.50,420.85,424.80,2248566,36547
15-03-2022,410.45,424.00,408.05,413.65,3219608,49375
14-03-2022,418.80,418.80,404.00,411.70,2761518,52263
11-03-2022,415.90,421.00,407.40,418.15,2018222,28698
10-03-2022,429.70,434.90,414.15,419.55,4762670,81871
09-03-2022,396.70,409.10,389.60,405.95,4050477,80383
08-03-2022,392.30,395.35,376.15,391.80,4155549,103149
07-03-2022,402.10,402.35,387.90,394.20,6447788,164686
04-03-2022,431.50,431.50,415.00,417.50,2016383,37953
03-03-2022,457.10,459.95,435.00,436.90,1581438,24653
02-03-2022,451.20,454.15,444.55,447.60,1771227,45182
28-02-2022,450.95,457.25,442.30,454.15,1506965,24651
25-02-2022,442.35,465.60,442.35,459.60,2201555,37391
24-02-2022,455.65,461.50,411.10,427.85,5179899,166088
23-02-2022,481.90,485.35,475.50,477.00,1216873,26526
22-02-2022,477.15,486.20,471.60,478.45,2001602,53030
21-02-2022,491.00,500.35,486.20,494.70,654509,14800
18-02-2022,497.45,502.75,491.50,493.10,967313,21858
17-02-2022,505.10,511.40,498.30,500.00,1010796,16732
16-02-2022,504.50,507.95,496.70,498.20,876665,15573
15-02-2022,476.80,505.30,467.20,503.85,2473128,55616
14-02-2022,489.90,489.90,469.00,471.70,1077169,28946
11-02-2022,502.05,506.80,497.00,498.35,501704,10554
10-02-2022,507.00,510.00,504.20,507.30,1170471,26904
09-02-2022,495.30,503.70,494.75,501.35,549340,9875
08-02-2022,498.60,498.60,479.30,492.50,1793813,42056
07-02-2022,502.00,504.40,492.65,494.80,533630,12102
04-02-2022,504.50,507.85,499.00,500.55,1251726,23342
03-02-2022,509.00,514.35,502.90,504.60,1232577,22440
02-02-2022,510.00,514.40,505.35,506.40,604766,11241
01-02-2022,507.00,514.65,493.20,504.30,2097367,35011
31-01-2022,507.00,519.50,498.15,517.50,2175057,42511
28-01-2022,500.10,509.30,495.50,497.40,888583,14736
27-01-2022,481.90,502.50,477.50,494.25,950616,18406
25-01-2022,473.00,492.35,467.60,490.40,1523451,46260
24-01-2022,500.50,504.25,473.45,478.55,1944951,69372
21-01-2022,510.80,513.90,494.30,502.00,1325230,32766
20-01-2022,520.75,523.05,512.00,515.70,650960,11887
19-01-2022,510.35,522.00,504.95,520.75,1598778,31497
18-01-2022,528.20,528.35,507.10,510.95,1508361,34435
17-01-2022,514.10,526.90,512.20,525.00,1174570,20987
14-01-2022,509.90,515.30,505.65,509.75,938170,20435
13-01-2022,504.50,513.85,495.00,511.95,1208916,17245
12-01-2022,505.00,511.80,503.40,507.10,680385,10561
11-01-2022,503.70,507.95,498.20,501.25,1403186,29165
10-01-2022,492.10,505.00,491.35,503.70,1080986,16435
